precinct_id,is_complete,votes,votes_align1,votes_alignfinal,GEOID10,candidate,precinct,precinct_full,align1,alignfinal,county,congressional_district,precinct_delegates
Harrah's,FALSE,0,0,0,32003-Harrah's,bennetm,Harrah's,Harrah's_Harrah's,0,0,Clark,NA,34
Harrah's,FALSE,0,0,0,32003-Harrah's,bidenj,Harrah's,Harrah's_Harrah's,0,0,Clark,NA,34
Harrah's,FALSE,0,0,0,32003-Harrah's,buttigiegp,Harrah's,Harrah's_Harrah's,0,0,Clark,NA,34
Harrah's,FALSE,0,0,0,32003-Harrah's,delaneyj,Harrah's,Harrah's_Harrah's,0,0,Clark,NA,34
Harrah's,FALSE,0,0,0,32003-Harrah's,gabbardt,Harrah's,Harrah's_Harrah's,0,0,Clark,NA,34
Harrah's,FALSE,0,0,0,32003-Harrah's,klobuchara,Harrah's,Harrah's_Harrah's,0,0,Clark,NA,34
Harrah's,FALSE,0,0,0,32003-Harrah's,patrickd,Harrah's,Harrah's_Harrah's,0,0,Clark,NA,34
Harrah's,FALSE,0,0,0,32003-Harrah's,sandersb,Harrah's,Harrah's_Harrah's,0,0,Clark,NA,34
Harrah's,FALSE,0,0,0,32003-Harrah's,steyert,Harrah's,Harrah's_Harrah's,0,0,Clark,NA,34
Harrah's,FALSE,0,0,0,32003-Harrah's,warrene,Harrah's,Harrah's_Harrah's,0,0,Clark,NA,34
Harrah's,FALSE,0,0,0,32003-Harrah's,yanga,Harrah's,Harrah's_Harrah's,0,0,Clark,NA,34
Harrah's,FALSE,0,0,0,32003-Harrah's,uncommitted,Harrah's,Harrah's_Harrah's,0,0,Clark,NA,34
Bellagio,FALSE,0,0,0,32003-Bellagio,bennetm,Bellagio,Bellagio_Bellagio,0,0,Clark,NA,51
Bellagio,FALSE,0,0,0,32003-Bellagio,bidenj,Bellagio,Bellagio_Bellagio,0,0,Clark,NA,51
Bellagio,FALSE,0,0,0,32003-Bellagio,buttigiegp,Bellagio,Bellagio_Bellagio,0,0,Clark,NA,51
Bellagio,FALSE,0,0,0,32003-Bellagio,delaneyj,Bellagio,Bellagio_Bellagio,0,0,Clark,NA,51
Bellagio,FALSE,0,0,0,32003-Bellagio,gabbardt,Bellagio,Bellagio_Bellagio,0,0,Clark,NA,51
Bellagio,FALSE,0,0,0,32003-Bellagio,klobuchara,Bellagio,Bellagio_Bellagio,0,0,Clark,NA,51
Bellagio,FALSE,0,0,0,32003-Bellagio,patrickd,Bellagio,Bellagio_Bellagio,0,0,Clark,NA,51
Bellagio,FALSE,0,0,0,32003-Bellagio,sandersb,Bellagio,Bellagio_Bellagio,0,0,Clark,NA,51
Bellagio,FALSE,0,0,0,32003-Bellagio,steyert,Bellagio,Bellagio_Bellagio,0,0,Clark,NA,51
Bellagio,FALSE,0,0,0,32003-Bellagio,warrene,Bellagio,Bellagio_Bellagio,0,0,Clark,NA,51
Bellagio,FALSE,0,0,0,32003-Bellagio,yanga,Bellagio,Bellagio_Bellagio,0,0,Clark,NA,51
Bellagio,FALSE,0,0,0,32003-Bellagio,uncommitted,Bellagio,Bellagio_Bellagio,0,0,Clark,NA,51
9996,FALSE,0,0,0,32003-9996,bennetm,9996,9996_9996,0,0,Clark,1,1
9996,FALSE,0,0,0,32003-9996,bidenj,9996,9996_9996,0,0,Clark,1,1
9996,FALSE,0,0,0,32003-9996,buttigiegp,9996,9996_9996,0,0,Clark,1,1
9996,FALSE,0,0,0,32003-9996,delaneyj,9996,9996_9996,0,0,Clark,1,1
9996,FALSE,0,0,0,32003-9996,gabbardt,9996,9996_9996,0,0,Clark,1,1
9996,FALSE,0,0,0,32003-9996,klobuchara,9996,9996_9996,0,0,Clark,1,1
9996,FALSE,0,0,0,32003-9996,patrickd,9996,9996_9996,0,0,Clark,1,1
9996,FALSE,0,0,0,32003-9996,sandersb,9996,9996_9996,0,0,Clark,1,1
9996,FALSE,0,0,0,32003-9996,steyert,9996,9996_9996,0,0,Clark,1,1
9996,FALSE,0,0,0,32003-9996,warrene,9996,9996_9996,0,0,Clark,1,1
9996,FALSE,0,0,0,32003-9996,yanga,9996,9996_9996,0,0,Clark,1,1
9996,FALSE,0,0,0,32003-9996,uncommitted,9996,9996_9996,0,0,Clark,1,1
998,FALSE,0,0,0,32510-998,bennetm,998,998_998,0,0,Carson City,2,1
998,FALSE,0,0,0,32510-998,bidenj,998,998_998,0,0,Carson City,2,1
998,FALSE,0,0,0,32510-998,buttigiegp,998,998_998,0,0,Carson City,2,1
998,FALSE,0,0,0,32510-998,delaneyj,998,998_998,0,0,Carson City,2,1
998,FALSE,0,0,0,32510-998,gabbardt,998,998_998,0,0,Carson City,2,1
998,FALSE,0,0,0,32510-998,klobuchara,998,998_998,0,0,Carson City,2,1
998,FALSE,0,0,0,32510-998,patrickd,998,998_998,0,0,Carson City,2,1
998,FALSE,0,0,0,32510-998,sandersb,998,998_998,0,0,Carson City,2,1
998,FALSE,0,0,0,32510-998,steyert,998,998_998,0,0,Carson City,2,1
998,FALSE,0,0,0,32510-998,warrene,998,998_998,0,0,Carson City,2,1
998,FALSE,0,0,0,32510-998,yanga,998,998_998,0,0,Carson City,2,1
998,FALSE,0,0,0,32510-998,uncommitted,998,998_998,0,0,Carson City,2,1
997,FALSE,0,0,0,32510-997,bennetm,997,997_997,0,0,Carson City,2,1
997,FALSE,0,0,0,32510-997,bidenj,997,997_997,0,0,Carson City,2,1
997,FALSE,0,0,0,32510-997,buttigiegp,997,997_997,0,0,Carson City,2,1
997,FALSE,0,0,0,32510-997,delaneyj,997,997_997,0,0,Carson City,2,1
997,FALSE,0,0,0,32510-997,gabbardt,997,997_997,0,0,Carson City,2,1
997,FALSE,0,0,0,32510-997,klobuchara,997,997_997,0,0,Carson City,2,1
997,FALSE,0,0,0,32510-997,patrickd,997,997_997,0,0,Carson City,2,1
997,FALSE,0,0,0,32510-997,sandersb,997,997_997,0,0,Carson City,2,1
997,FALSE,0,0,0,32510-997,steyert,997,997_997,0,0,Carson City,2,1
997,FALSE,0,0,0,32510-997,warrene,997,997_997,0,0,Carson City,2,1
997,FALSE,0,0,0,32510-997,yanga,997,997_997,0,0,Carson City,2,1
997,FALSE,0,0,0,32510-997,uncommitted,997,997_997,0,0,Carson City,2,1
980000,FALSE,0,0,0,32031-9800,bennetm,980000,980000_980000,0,0,Washoe,2,1
980000,FALSE,0,0,0,32031-9800,bidenj,980000,980000_980000,0,0,Washoe,2,1
980000,FALSE,0,0,0,32031-9800,buttigiegp,980000,980000_980000,0,0,Washoe,2,1
980000,FALSE,0,0,0,32031-9800,delaneyj,980000,980000_980000,0,0,Washoe,2,1
980000,FALSE,0,0,0,32031-9800,gabbardt,980000,980000_980000,0,0,Washoe,2,1
980000,FALSE,0,0,0,32031-9800,klobuchara,980000,980000_980000,0,0,Washoe,2,1
980000,FALSE,0,0,0,32031-9800,patrickd,980000,980000_980000,0,0,Washoe,2,1
980000,FALSE,0,0,0,32031-9800,sandersb,980000,980000_980000,0,0,Washoe,2,1
980000,FALSE,0,0,0,32031-9800,steyert,980000,980000_980000,0,0,Washoe,2,1
980000,FALSE,0,0,0,32031-9800,warrene,980000,980000_980000,0,0,Washoe,2,1
980000,FALSE,0,0,0,32031-9800,yanga,980000,980000_980000,0,0,Washoe,2,1
980000,FALSE,0,0,0,32031-9800,uncommitted,980000,980000_980000,0,0,Washoe,2,1
970000,FALSE,0,0,0,32031-9700,bennetm,970000,970000_970000,0,0,Washoe,2,1
970000,FALSE,0,0,0,32031-9700,bidenj,970000,970000_970000,0,0,Washoe,2,1
970000,FALSE,0,0,0,32031-9700,buttigiegp,970000,970000_970000,0,0,Washoe,2,1
970000,FALSE,0,0,0,32031-9700,delaneyj,970000,970000_970000,0,0,Washoe,2,1
970000,FALSE,0,0,0,32031-9700,gabbardt,970000,970000_970000,0,0,Washoe,2,1
970000,FALSE,0,0,0,32031-9700,klobuchara,970000,970000_970000,0,0,Washoe,2,1
970000,FALSE,0,0,0,32031-9700,patrickd,970000,970000_970000,0,0,Washoe,2,1
970000,FALSE,0,0,0,32031-9700,sandersb,970000,970000_970000,0,0,Washoe,2,1
970000,FALSE,0,0,0,32031-9700,steyert,970000,970000_970000,0,0,Washoe,2,1
970000,FALSE,0,0,0,32031-9700,warrene,970000,970000_970000,0,0,Washoe,2,1
970000,FALSE,0,0,0,32031-9700,yanga,970000,970000_970000,0,0,Washoe,2,1
970000,FALSE,0,0,0,32031-9700,uncommitted,970000,970000_970000,0,0,Washoe,2,1
8400,FALSE,0,0,0,32031-84,bennetm,8400,8400_8400,0,0,Washoe,2,1
8400,FALSE,0,0,0,32031-84,bidenj,8400,8400_8400,0,0,Washoe,2,1
8400,FALSE,0,0,0,32031-84,buttigiegp,8400,8400_8400,0,0,Washoe,2,1
8400,FALSE,0,0,0,32031-84,delaneyj,8400,8400_8400,0,0,Washoe,2,1
8400,FALSE,0,0,0,32031-84,gabbardt,8400,8400_8400,0,0,Washoe,2,1
8400,FALSE,0,0,0,32031-84,klobuchara,8400,8400_8400,0,0,Washoe,2,1
8400,FALSE,0,0,0,32031-84,patrickd,8400,8400_8400,0,0,Washoe,2,1
8400,FALSE,0,0,0,32031-84,sandersb,8400,8400_8400,0,0,Washoe,2,1
8400,FALSE,0,0,0,32031-84,steyert,8400,8400_8400,0,0,Washoe,2,1
8400,FALSE,0,0,0,32031-84,warrene,8400,8400_8400,0,0,Washoe,2,1
8400,FALSE,0,0,0,32031-84,yanga,8400,8400_8400,0,0,Washoe,2,1
8400,FALSE,0,0,0,32031-84,uncommitted,8400,8400_8400,0,0,Washoe,2,1
7,FALSE,0,0,0,32013-7,bennetm,7,7_7,0,0,Churchill,2,5
7,FALSE,0,0,0,32013-7,bennetm,7,7_7,0,0,Douglas,2,5
7,FALSE,0,0,0,32013-7,bennetm,7,7_7,0,0,Elko,2,2
7,FALSE,0,0,0,32013-7,bennetm,7,7_7,0,0,Humboldt,2,7
7,FALSE,0,0,0,32013-7,bennetm,7,7_7,0,0,Lander,2,2
7,FALSE,0,0,0,32013-7,bennetm,7,7_7,0,0,Lyon,4,3
7,FALSE,0,0,0,32013-7,bennetm,7,7_7,0,0,Mineral,4,2
7,FALSE,0,0,0,32013-7,bennetm,7,7_7,0,0,Nye,4,1
7,FALSE,0,0,0,32013-7,bennetm,7,7_7,0,0,Pershing,2,6
7,FALSE,0,0,0,32013-7,bennetm,7,7_7,0,0,Storey,2,1
7,FALSE,0,0,0,32013-7,bennetm,7,7_7,0,0,White Pine,4,3
7,FALSE,0,0,0,32013-7,bidenj,7,7_7,0,0,Churchill,2,5
7,FALSE,0,0,0,32013-7,bidenj,7,7_7,0,0,Douglas,2,5
7,FALSE,0,0,0,32013-7,bidenj,7,7_7,0,0,Elko,2,2
7,FALSE,0,0,0,32013-7,bidenj,7,7_7,0,0,Humboldt,2,7
7,FALSE,0,0,0,32013-7,bidenj,7,7_7,0,0,Lander,2,2
7,FALSE,0,0,0,32013-7,bidenj,7,7_7,0,0,Lyon,4,3
7,FALSE,0,0,0,32013-7,bidenj,7,7_7,0,0,Mineral,4,2
7,FALSE,0,0,0,32013-7,bidenj,7,7_7,0,0,Nye,4,1
7,FALSE,0,0,0,32013-7,bidenj,7,7_7,0,0,Pershing,2,6
7,FALSE,0,0,0,32013-7,bidenj,7,7_7,0,0,Storey,2,1
7,FALSE,0,0,0,32013-7,bidenj,7,7_7,0,0,White Pine,4,3
7,FALSE,0,0,0,32013-7,buttigiegp,7,7_7,0,0,Churchill,2,5
7,FALSE,0,0,0,32013-7,buttigiegp,7,7_7,0,0,Douglas,2,5
7,FALSE,0,0,0,32013-7,buttigiegp,7,7_7,0,0,Elko,2,2
7,FALSE,0,0,0,32013-7,buttigiegp,7,7_7,0,0,Humboldt,2,7
7,FALSE,0,0,0,32013-7,buttigiegp,7,7_7,0,0,Lander,2,2
7,FALSE,0,0,0,32013-7,buttigiegp,7,7_7,0,0,Lyon,4,3
7,FALSE,0,0,0,32013-7,buttigiegp,7,7_7,0,0,Mineral,4,2
7,FALSE,0,0,0,32013-7,buttigiegp,7,7_7,0,0,Nye,4,1
7,FALSE,0,0,0,32013-7,buttigiegp,7,7_7,0,0,Pershing,2,6
7,FALSE,0,0,0,32013-7,buttigiegp,7,7_7,0,0,Storey,2,1
7,FALSE,0,0,0,32013-7,buttigiegp,7,7_7,0,0,White Pine,4,3
7,FALSE,0,0,0,32013-7,delaneyj,7,7_7,0,0,Churchill,2,5
7,FALSE,0,0,0,32013-7,delaneyj,7,7_7,0,0,Douglas,2,5
7,FALSE,0,0,0,32013-7,delaneyj,7,7_7,0,0,Elko,2,2
7,FALSE,0,0,0,32013-7,delaneyj,7,7_7,0,0,Humboldt,2,7
7,FALSE,0,0,0,32013-7,delaneyj,7,7_7,0,0,Lander,2,2
7,FALSE,0,0,0,32013-7,delaneyj,7,7_7,0,0,Lyon,4,3
7,FALSE,0,0,0,32013-7,delaneyj,7,7_7,0,0,Mineral,4,2
7,FALSE,0,0,0,32013-7,delaneyj,7,7_7,0,0,Nye,4,1
7,FALSE,0,0,0,32013-7,delaneyj,7,7_7,0,0,Pershing,2,6
7,FALSE,0,0,0,32013-7,delaneyj,7,7_7,0,0,Storey,2,1
7,FALSE,0,0,0,32013-7,delaneyj,7,7_7,0,0,White Pine,4,3
7,FALSE,0,0,0,32013-7,gabbardt,7,7_7,0,0,Churchill,2,5
7,FALSE,0,0,0,32013-7,gabbardt,7,7_7,0,0,Douglas,2,5
7,FALSE,0,0,0,32013-7,gabbardt,7,7_7,0,0,Elko,2,2
7,FALSE,0,0,0,32013-7,gabbardt,7,7_7,0,0,Humboldt,2,7
7,FALSE,0,0,0,32013-7,gabbardt,7,7_7,0,0,Lander,2,2
7,FALSE,0,0,0,32013-7,gabbardt,7,7_7,0,0,Lyon,4,3
7,FALSE,0,0,0,32013-7,gabbardt,7,7_7,0,0,Mineral,4,2
7,FALSE,0,0,0,32013-7,gabbardt,7,7_7,0,0,Nye,4,1
7,FALSE,0,0,0,32013-7,gabbardt,7,7_7,0,0,Pershing,2,6
7,FALSE,0,0,0,32013-7,gabbardt,7,7_7,0,0,Storey,2,1
7,FALSE,0,0,0,32013-7,gabbardt,7,7_7,0,0,White Pine,4,3
7,FALSE,0,0,0,32013-7,klobuchara,7,7_7,0,0,Churchill,2,5
7,FALSE,0,0,0,32013-7,klobuchara,7,7_7,0,0,Douglas,2,5
7,FALSE,0,0,0,32013-7,klobuchara,7,7_7,0,0,Elko,2,2
7,FALSE,0,0,0,32013-7,klobuchara,7,7_7,0,0,Humboldt,2,7
7,FALSE,0,0,0,32013-7,klobuchara,7,7_7,0,0,Lander,2,2
7,FALSE,0,0,0,32013-7,klobuchara,7,7_7,0,0,Lyon,4,3
7,FALSE,0,0,0,32013-7,klobuchara,7,7_7,0,0,Mineral,4,2
7,FALSE,0,0,0,32013-7,klobuchara,7,7_7,0,0,Nye,4,1
7,FALSE,0,0,0,32013-7,klobuchara,7,7_7,0,0,Pershing,2,6
7,FALSE,0,0,0,32013-7,klobuchara,7,7_7,0,0,Storey,2,1
7,FALSE,0,0,0,32013-7,klobuchara,7,7_7,0,0,White Pine,4,3
7,FALSE,0,0,0,32013-7,patrickd,7,7_7,0,0,Churchill,2,5
7,FALSE,0,0,0,32013-7,patrickd,7,7_7,0,0,Douglas,2,5
7,FALSE,0,0,0,32013-7,patrickd,7,7_7,0,0,Elko,2,2
7,FALSE,0,0,0,32013-7,patrickd,7,7_7,0,0,Humboldt,2,7
7,FALSE,0,0,0,32013-7,patrickd,7,7_7,0,0,Lander,2,2
7,FALSE,0,0,0,32013-7,patrickd,7,7_7,0,0,Lyon,4,3
7,FALSE,0,0,0,32013-7,patrickd,7,7_7,0,0,Mineral,4,2
7,FALSE,0,0,0,32013-7,patrickd,7,7_7,0,0,Nye,4,1
7,FALSE,0,0,0,32013-7,patrickd,7,7_7,0,0,Pershing,2,6
7,FALSE,0,0,0,32013-7,patrickd,7,7_7,0,0,Storey,2,1
7,FALSE,0,0,0,32013-7,patrickd,7,7_7,0,0,White Pine,4,3
7,FALSE,0,0,0,32013-7,sandersb,7,7_7,0,0,Churchill,2,5
7,FALSE,0,0,0,32013-7,sandersb,7,7_7,0,0,Douglas,2,5
7,FALSE,0,0,0,32013-7,sandersb,7,7_7,0,0,Elko,2,2
7,FALSE,0,0,0,32013-7,sandersb,7,7_7,0,0,Humboldt,2,7
7,FALSE,0,0,0,32013-7,sandersb,7,7_7,0,0,Lander,2,2
7,FALSE,0,0,0,32013-7,sandersb,7,7_7,0,0,Lyon,4,3
7,FALSE,0,0,0,32013-7,sandersb,7,7_7,0,0,Mineral,4,2
7,FALSE,0,0,0,32013-7,sandersb,7,7_7,0,0,Nye,4,1
7,FALSE,0,0,0,32013-7,sandersb,7,7_7,0,0,Pershing,2,6
7,FALSE,0,0,0,32013-7,sandersb,7,7_7,0,0,Storey,2,1
7,FALSE,0,0,0,32013-7,sandersb,7,7_7,0,0,White Pine,4,3
7,FALSE,0,0,0,32013-7,steyert,7,7_7,0,0,Churchill,2,5
7,FALSE,0,0,0,32013-7,steyert,7,7_7,0,0,Douglas,2,5
7,FALSE,0,0,0,32013-7,steyert,7,7_7,0,0,Elko,2,2
7,FALSE,0,0,0,32013-7,steyert,7,7_7,0,0,Humboldt,2,7
7,FALSE,0,0,0,32013-7,steyert,7,7_7,0,0,Lander,2,2
7,FALSE,0,0,0,32013-7,steyert,7,7_7,0,0,Lyon,4,3
7,FALSE,0,0,0,32013-7,steyert,7,7_7,0,0,Mineral,4,2
7,FALSE,0,0,0,32013-7,steyert,7,7_7,0,0,Nye,4,1
7,FALSE,0,0,0,32013-7,steyert,7,7_7,0,0,Pershing,2,6
7,FALSE,0,0,0,32013-7,steyert,7,7_7,0,0,Storey,2,1
7,FALSE,0,0,0,32013-7,steyert,7,7_7,0,0,White Pine,4,3
7,FALSE,0,0,0,32013-7,warrene,7,7_7,0,0,Churchill,2,5
7,FALSE,0,0,0,32013-7,warrene,7,7_7,0,0,Douglas,2,5
7,FALSE,0,0,0,32013-7,warrene,7,7_7,0,0,Elko,2,2
7,FALSE,0,0,0,32013-7,warrene,7,7_7,0,0,Humboldt,2,7
7,FALSE,0,0,0,32013-7,warrene,7,7_7,0,0,Lander,2,2
7,FALSE,0,0,0,32013-7,warrene,7,7_7,0,0,Lyon,4,3
7,FALSE,0,0,0,32013-7,warrene,7,7_7,0,0,Mineral,4,2
7,FALSE,0,0,0,32013-7,warrene,7,7_7,0,0,Nye,4,1
7,FALSE,0,0,0,32013-7,warrene,7,7_7,0,0,Pershing,2,6
